File	Read_Count
2023-1-ASB-CL-FL-1-16S_S1_L001_R1_001.fastq.gz	15169
2023-1-ASB-CL-FL-1-16S_S1_L001_R2_001.fastq.gz	15169
2023-1-ASB-CL-FL-2-16S_S3_L001_R1_001.fastq.gz	12494
2023-1-ASB-CL-FL-2-16S_S3_L001_R2_001.fastq.gz	12494
2023-1-ASB-CL-FL-3-16S_S5_L001_R1_001.fastq.gz	15868
2023-1-ASB-CL-FL-3-16S_S5_L001_R2_001.fastq.gz	15868
2023-1-ASB-CL-LE-1-16S_S2_L001_R1_001.fastq.gz	18045
2023-1-ASB-CL-LE-1-16S_S2_L001_R2_001.fastq.gz	18045
2023-1-ASB-CL-LE-2-16S_S4_L001_R1_001.fastq.gz	16936
2023-1-ASB-CL-LE-2-16S_S4_L001_R2_001.fastq.gz	16936
2023-1-ASB-CL-LE-3-16S_S6_L001_R1_001.fastq.gz	39689
2023-1-ASB-CL-LE-3-16S_S6_L001_R2_001.fastq.gz	39689
2023-1-ASB-EM-FL-1-16S_S31_L001_R1_001.fastq.gz	20589
2023-1-ASB-EM-FL-1-16S_S31_L001_R2_001.fastq.gz	20589
2023-1-ASB-EM-FL-2-16S_S33_L001_R1_001.fastq.gz	17053
2023-1-ASB-EM-FL-2-16S_S33_L001_R2_001.fastq.gz	17053
2023-1-ASB-EM-FL-3-16S_S35_L001_R1_001.fastq.gz	17913
2023-1-ASB-EM-FL-3-16S_S35_L001_R2_001.fastq.gz	17913
2023-1-ASB-EM-LE-1-16S_S32_L001_R1_001.fastq.gz	22731
2023-1-ASB-EM-LE-1-16S_S32_L001_R2_001.fastq.gz	22731
2023-1-ASB-EM-LE-2-16S_S34_L001_R1_001.fastq.gz	11428
2023-1-ASB-EM-LE-2-16S_S34_L001_R2_001.fastq.gz	11428
2023-1-ASB-EM-LE-3-16S_S36_L001_R1_001.fastq.gz	12297
2023-1-ASB-EM-LE-3-16S_S36_L001_R2_001.fastq.gz	12297
2023-1-ASB-HC-FL-1-16S_S13_L001_R1_001.fastq.gz	23848
2023-1-ASB-HC-FL-1-16S_S13_L001_R2_001.fastq.gz	23848
2023-1-ASB-HC-FL-2-16S_S15_L001_R1_001.fastq.gz	22490
