Sample	Shannon	Simpson	Tail	time	site	cultivar	type	replicate	practice	susceptibility	date	treeID
2023-1-ASB-CL-FL-1	4.980989002100391	0.9898987810299728	84.90662546722434	May	ASB	Cortland	Flower	1	Conventional	High	2023-05-15T00:00:00Z	ASB_Cortland_1
2023-1-ASB-CL-FL-2	5.008671349783357	0.991118784958799	84.94248101148123	May	ASB	Cortland	Flower	2	Conventional	High	2023-05-15T00:00:00Z	ASB_Cortland_2
2023-1-ASB-CL-FL-3	4.931294834945086	0.9877689436627	84.31519108052437	May	ASB	Cortland	Flower	3	Conventional	High	2023-05-15T00:00:00Z	ASB_Cortland_3
2023-1-ASB-CL-LE-1	4.792781143619898	0.9873760610415525	70.63920374770179	May	ASB	Cortland	Leaf	1	Conventional	High	2023-05-15T00:00:00Z	ASB_Cortland_1
2023-1-ASB-CL-LE-2	5.068099653648523	0.9915737016780223	91.89932279699683	May	ASB	Cortland	Leaf	2	Conventional	High	2023-05-15T00:00:00Z	ASB_Cortland_2
2023-1-ASB-CL-LE-3	4.705082192609834	0.9797665450109075	75.78527799070619	May	ASB	Cortland	Leaf	3	Conventional	High	2023-05-15T00:00:00Z	ASB_Cortland_3
2023-1-ASB-EM-FL-1	4.730552845510542	0.9851428335108198	69.89440818706412	May	ASB	Empire	Flower	1	Conventional	Low	2023-05-15T00:00:00Z	ASB_Empire_1
2023-1-ASB-EM-FL-2	4.738830894086418	0.9879964020223115	63.861309734681605	May	ASB	Empire	Flower	2	Conventional	Low	2023-05-15T00:00:00Z	ASB_Empire_2
2023-1-ASB-EM-FL-3	4.329477694751965	0.9780089122320902	44.59114009441353	May	ASB	Empire	Flower	3	Conventional	Low	2023-05-15T00:00:00Z	ASB_Empire_3
2023-1-ASB-EM-LE-1	5.116196923651025	0.991118784958799	99.92366861679581	May	ASB	Empire	Leaf	1	Conventional	Low	2023-05-15T00:00:00Z	ASB_Empire_1
2023-1-ASB-EM-LE-2	4.845605681969809	0.9846879167915964	79.04903033017848	May	ASB	Empire	Leaf	2	Conventional	Low	2023-05-15T00:00:00Z	ASB_Empire_2
2023-1-ASB-EM-LE-3	4.924636331304411	0.9899194590626648	79.49314921239552	May	ASB	Empire	Leaf	3	Conventional	Low	2023-05-15T00:00:00Z	ASB_Empire_3
2023-1-ASB-HC-FL-1	4.541857695143134	0.9831370643396987	54.52298255790531	May	ASB	Honeycrisp	Flower	1	Conventional	Moderate	2023-05-15T00:00:00Z	ASB_Honeycrisp_1
2023-1-ASB-HC-FL-2	4.852100289858531	0.9895472544742093	70.52754815128277	May	ASB	Honeycrisp	Flower	2	Conventional	Moderate	2023-05-15T00:00:00Z	ASB_Honeycrisp_2
2023-1-ASB-HC-FL-3	4.957392619611366	0.9907672584030355	79.58481491637278	May	ASB	Honeycrisp	Flower	3	Conventional	Moderate	2023-05-15T00:00:00Z	ASB_Honeycrisp_3
2023-1-ASB-HC-LE-1	5.104433437706087	0.9918631941357099	93.72239572165807	May	ASB	Honeycrisp	Leaf	1	Conventional	Moderate	2023-05-15T00:00:00Z	ASB_Honeycrisp_1
2023-1-ASB-HC-LE-2	5.12985737550064	0.991118784958799	100.7470647765643	May	ASB	Honeycrisp	Leaf	2	Conventional	Moderate	2023-05-15T00:00:00Z	ASB_Honeycrisp_2
2023-1-ASB-HC-LE-3	5.154552839879492	0.9921940426587814	100.22771500590774	May	ASB	Honeycrisp	Leaf	3	Conventional	Moderate	2023-05-15T00:00:00Z	ASB_Honeycrisp_3
2023-1-ASB-LI-FL-1	4.91951106195314	0.9905398000434238	75.48658874519269	May	ASB	Liberty	Flower	1	Conventional	Low	2023-05-15T00:00:00Z	ASB_Liberty_1
2023-1-ASB-LI-FL-2	4.922601967815309	0.9906638682395756	75.54102822531355	May	ASB	Liberty	Flower	2	Conventional	Low	2023-05-15T00:00:00Z	ASB_Liberty_2
2023-1-ASB-LI-FL-3	5.030975918125473	0.9916357357760982	85.70151221618833	May	ASB	Liberty	Flower	3	Conventional	Low	2023-05-15T00:00:00Z	ASB_Liberty_3
2023-1-ASB-LI-LE-1	5.251532196281505	0.9937035390452952	107.30008705342239	May	ASB	Liberty	Leaf	1	Conventional	Low	2023-05-15T00:00:00Z	ASB_Liberty_1
2023-1-ASB-LI-LE-2	5.23684440648732	0.9937655731433711	104.01845619069636	May	ASB	Liberty	Leaf	2	Conventional	Low	2023-05-15T00:00:00Z	ASB_Liberty_2
2023-1-ASB-LI-LE-3	5.17477659473179	0.9925869252799288	101.04651757396869	May	ASB	Liberty	Leaf	3	Conventional	Low	2023-05-15T00:00:00Z	ASB_Liberty_3
2023-1-ASB-PR-FL-1	5.003830876390968	0.990415731847272	86.23028690327558	May	ASB	Paulared	Flower	1	Conventional	High	2023-05-15T00:00:00Z	ASB_Paulared_1
2023-1-ASB-PR-FL-2	4.763503342759525	0.9859285987531147	67.92761420588964	May	ASB	Paulared	Flower	2	Conventional	High	2023-05-15T00:00:00Z	ASB_Paulared_2
2023-1-ASB-PR-FL-3	4.913299309953597	0.9891957279184458	81.145199539838	May	ASB	Paulared	Flower	3	Conventional	High	2023-05-15T00:00:00Z	ASB_Paulared_3
2023-1-ASB-PR-LE-1	5.179695819135475	0.9922147206914733	103.05787716140902	May	ASB	Paulared	Leaf	1	Conventional	High	2023-05-15T00:00:00Z	ASB_Paulared_1
2023-1-ASB-PR-LE-2	5.036980494018076	0.9908913265991873	88.46688119021782	May	ASB	Paulared	Leaf	2	Conventional	High	2023-05-15T00:00:00Z	ASB_Paulared_2
