Sample	Shannon	Simpson	Tail	time	site	cultivar	type	replicate	practice	susceptibility	date	treeID
2023-1-ASB-CL-FL-1	3.0820184909109027	0.7463917387684396	59.72953664878673	May	ASB	Cortland	Flower	1	Conventional	High	2023-05-15T00:00:00Z	ASB_Cortland_1
2023-1-ASB-CL-FL-2	4.21970010014221	0.9603434942026013	65.320025332878	May	ASB	Cortland	Flower	2	Conventional	High	2023-05-15T00:00:00Z	ASB_Cortland_2
2023-1-ASB-CL-FL-3	4.663671896816822	0.9711088833759494	104.3307527116382	May	ASB	Cortland	Flower	3	Conventional	High	2023-05-15T00:00:00Z	ASB_Cortland_3
2023-1-ASB-CL-LE-2	4.221264130460972	0.9626505395560463	64.02075781127928	May	ASB	Cortland	Leaf	2	Conventional	High	2023-05-15T00:00:00Z	ASB_Cortland_2
2023-1-ASB-CL-LE-3	1.465100491909683	0.3957754809546301	24.761490306179866	May	ASB	Cortland	Leaf	3	Conventional	High	2023-05-15T00:00:00Z	ASB_Cortland_3
2023-1-ASB-EM-FL-1	4.90601456488907	0.9836000623201862	98.556902631197	May	ASB	Empire	Flower	1	Conventional	Low	2023-05-15T00:00:00Z	ASB_Empire_1
2023-1-ASB-EM-FL-3	4.481567283714372	0.9675445071171205	79.3613254879692	May	ASB	Empire	Flower	3	Conventional	Low	2023-05-15T00:00:00Z	ASB_Empire_3
2023-1-ASB-EM-LE-1	4.602165512618732	0.9613590171458062	100.11262549436671	May	ASB	Empire	Leaf	1	Conventional	Low	2023-05-15T00:00:00Z	ASB_Empire_1
2023-1-ASB-EM-LE-2	4.097191441332412	0.9397136796333545	76.900174640775	May	ASB	Empire	Leaf	2	Conventional	Low	2023-05-15T00:00:00Z	ASB_Empire_2
2023-1-ASB-EM-LE-3	4.550154272512543	0.9576127561807315	93.75356920157903	May	ASB	Empire	Leaf	3	Conventional	Low	2023-05-15T00:00:00Z	ASB_Empire_3
2023-1-ASB-HC-FL-2	4.941902564794149	0.9822616587744214	96.59653641837716	May	ASB	Honeycrisp	Flower	2	Conventional	Moderate	2023-05-15T00:00:00Z	ASB_Honeycrisp_2
2023-1-ASB-HC-FL-3	4.813636766976581	0.9795118863065491	93.90415509575988	May	ASB	Honeycrisp	Flower	3	Conventional	Moderate	2023-05-15T00:00:00Z	ASB_Honeycrisp_3
2023-1-ASB-HC-LE-1	4.978917328970265	0.9797875332838437	117.5144112855172	May	ASB	Honeycrisp	Leaf	1	Conventional	Moderate	2023-05-15T00:00:00Z	ASB_Honeycrisp_1
2023-1-ASB-HC-LE-2	4.949359589936209	0.979825249686108	118.13533949791295	May	ASB	Honeycrisp	Leaf	2	Conventional	Moderate	2023-05-15T00:00:00Z	ASB_Honeycrisp_2
2023-1-ASB-HC-LE-3	4.748778122485245	0.968049624915667	119.1711633025722	May	ASB	Honeycrisp	Leaf	3	Conventional	Moderate	2023-05-15T00:00:00Z	ASB_Honeycrisp_3
2023-1-ASB-LI-FL-1	4.72092535819399	0.9711399024731385	103.70847170445896	May	ASB	Liberty	Flower	1	Conventional	Low	2023-05-15T00:00:00Z	ASB_Liberty_1
2023-1-ASB-LI-FL-2	4.272745264317003	0.9451215772364946	76.4585409242727	May	ASB	Liberty	Flower	2	Conventional	Low	2023-05-15T00:00:00Z	ASB_Liberty_2
2023-1-ASB-LI-LE-1	4.581332039857317	0.9621619887753169	114.0151473284101	May	ASB	Liberty	Leaf	1	Conventional	Low	2023-05-15T00:00:00Z	ASB_Liberty_1
2023-1-ASB-LI-LE-2	5.197948507853314	0.987128484625455	122.21902096156181	May	ASB	Liberty	Leaf	2	Conventional	Low	2023-05-15T00:00:00Z	ASB_Liberty_2
2023-1-ASB-LI-LE-3	3.217659457279506	0.7663571101763087	69.34595187277982	May	ASB	Liberty	Leaf	3	Conventional	Low	2023-05-15T00:00:00Z	ASB_Liberty_3
2023-1-ASB-PR-FL-1	4.797343587316426	0.9815401122750322	85.5200788066358	May	ASB	Paulared	Flower	1	Conventional	High	2023-05-15T00:00:00Z	ASB_Paulared_1
2023-1-ASB-PR-FL-2	4.281513316633745	0.9456274000145227	85.26368198708617	May	ASB	Paulared	Flower	2	Conventional	High	2023-05-15T00:00:00Z	ASB_Paulared_2
2023-1-ASB-PR-FL-3	4.4555520162824775	0.9664271146388286	75.77187469056433	May	ASB	Paulared	Flower	3	Conventional	High	2023-05-15T00:00:00Z	ASB_Paulared_3
2023-1-ASB-PR-LE-1	4.72852455656087	0.9729580445561132	102.77000031086837	May	ASB	Paulared	Leaf	1	Conventional	High	2023-05-15T00:00:00Z	ASB_Paulared_1
2023-1-ASB-PR-LE-2	4.299050105070333	0.9488318842480091	84.27489902819977	May	ASB	Paulared	Leaf	2	Conventional	High	2023-05-15T00:00:00Z	ASB_Paulared_2
2023-1-ASB-PR-LE-3	1.2758260762217364	0.3336428193257466	22.293026022411944	May	ASB	Paulared	Leaf	3	Conventional	High	2023-05-15T00:00:00Z	ASB_Paulared_3
2023-1-ASB-SP-FL-1	4.486614704899894	0.9652194847868953	76.86477161241935	May	ASB	Spartan	Flower	1	Conventional	Moderate	2023-05-15T00:00:00Z	ASB_Spartan_1
2023-1-ASB-SP-FL-2	4.793901171756487	0.9820861188835099	90.10409597144425	May	ASB	Spartan	Flower	2	Conventional	Moderate	2023-05-15T00:00:00Z	ASB_Spartan_2
2023-1-ASB-SP-FL-3	4.75229180539538	0.9805249418215682	81.75086819136529	May	ASB	Spartan	Flower	3	Conventional	Moderate	2023-05-15T00:00:00Z	ASB_Spartan_3
